"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   9 EKİM 2020  "," 11.393.342 "," 332.382 "," 8.722 "," 6.2 "," 1.398 "," 291.754 ","  "," 1.629 "," 115.295 "," 55 "," 1.402 "
"   8 EKİM 2020  "," 11.278.047 "," 330.753 "," 8.667 "," 6.2 "," 1.403 "," 290.352 ","  "," 1.615 "," 117.101 "," 58 "," 1.398 "
"   7 EKİM 2020  "," 11.160.946 "," 329.138 "," 8.609 "," 6.2 "," 1.411 "," 288.954 ","  "," 1.581 "," 116.608 "," 56 "," 1.355 "
"   6 EKİM 2020  "," 11.044.338 "," 327.557 "," 8.553 "," 6.2 "," 1.414 "," 287.599 ","  "," 1.511 "," 112.421 "," 55 "," 1.229 "
"   5 EKİM 2020  "," 10.931.917 "," 326.046 "," 8.498 "," 6.2 "," 1.412 "," 286.370 ","  "," 1.603 "," 115.632 "," 57 "," 1.320 "
"   4 EKİM 2020  "," 10.816.285 "," 324.443 "," 8.441 "," 6.4 "," 1.475 "," 285.050 ","  "," 1.429 "," 104.402 "," 57 "," 1.182 "
"   3 EKİM 2020  "," 10.711.883 "," 323.014 "," 8.384 "," 6.4 "," 1.470 "," 283.868 ","  "," 1.502 "," 103.219 "," 59 "," 1.211 "
"   2 EKİM 2020  "," 10.608.664 "," 321.512 "," 8.325 "," 6.4 "," 1.455 "," 282.657 ","  "," 1.442 "," 114.857 "," 63 "," 1.506 "
"   1 EKİM 2020  "," 10.493.807 "," 320.070 "," 8.262 "," 6.4 "," 1.507 "," 281.151 ","  "," 1.407 "," 113.546 "," 67 "," 1.402 "
"   30 EYLÜL 2020  "," 10.380.261 "," 318.663 "," 8.195 "," 6.4 "," 1.516 "," 279.749 ","  "," 1.391 "," 112.098 "," 65 "," 1.245 "
"   29 EYLÜL 2020  "," 10.268.163 "," 317.272 "," 8.130 "," 6.5 "," 1.583 "," 278.504 ","  "," 1.427 "," 114.940 "," 68 "," 1.452 "
"   28 EYLÜL 2020  "," 10.153.223 "," 315.845 "," 8.062 "," 6.5 "," 1.596 "," 277.052 ","  "," 1.412 "," 115.523 "," 65 "," 1.422 "
"   27 EYLÜL 2020  "," 10.037.700 "," 314.433 "," 7.997 "," 6.5 "," 1.583 "," 275.630 ","  "," 1.467 "," 101.119 "," 68 "," 1.116 "
"   26 EYLÜL 2020  "," 9.936.581 "," 312.966 "," 7.929 "," 6.6 "," 1.615 "," 274.514 ","  "," 1.511 "," 102.009 "," 71 "," 1.232 "
"   25 EYLÜL 2020  "," 9.834.572 "," 311.455 "," 7.858 "," 6.6 "," 1.601 "," 273.282 ","  "," 1.665 "," 112.885 "," 73 "," 1.318 "
"   24 EYLÜL 2020  "," 9.721.687 "," 309.790 "," 7.785 "," 6.6 "," 1.573 "," 271.964 ","  "," 1.721 "," 113.317 "," 74 "," 1.241 "
"   23 EYLÜL 2020  "," 9.608.370 "," 308.069 "," 7.711 "," 6.7 "," 1.561 "," 270.723 ","  "," 1.767 "," 112.102 "," 72 "," 1.027 "
"   22 EYLÜL 2020  "," 9.496.268 "," 306.302 "," 7.639 "," 6.7 "," 1.522 "," 269.696 ","  "," 1.692 "," 114.311 "," 65 "," 1.261 "
"   21 EYLÜL 2020  "," 9.381.957 "," 304.610 "," 7.574 "," 6.8 "," 1.491 "," 268.435 ","  "," 1.743 "," 112.942 "," 68 "," 1.202 "
"   20 EYLÜL 2020  "," 9.269.015 "," 302.867 "," 7.506 "," 7.0 "," 1.456 "," 267.233 ","  "," 1.519 "," 95.321 "," 61 "," 1.116 "
"   19 EYLÜL 2020  "," 9.173.694 "," 301.348 "," 7.445 "," 7.0 "," 1.432 "," 266.117 ","  "," 1.538 "," 97.416 "," 68 "," 1.312 "
"   18 EYLÜL 2020  "," 9.076.278 "," 299.810 "," 7.377 "," 7.1 "," 1.402 "," 264.805 ","  "," 1.771 "," 111.113 "," 62 "," 1.060 "
"   17 EYLÜL 2020  "," 8.965.165 "," 298.039 "," 7.315 "," 7.1 "," 1.372 "," 263.745 ","  "," 1.648 "," 109.985 "," 66 "," 1.143 "
"   16 EYLÜL 2020  "," 8.855.180 "," 296.391 "," 7.249 "," 7.1 "," 1.351 "," 262.602 ","  "," 1.771 "," 112.645 "," 63 "," 1.342 "
"   15 EYLÜL 2020  "," 8.742.535 "," 294.620 "," 7.186 "," 7.1 "," 1.327 "," 261.260 ","  "," 1.742 "," 110.412 "," 67 "," 1.202 "
"   14 EYLÜL 2020  "," 8.632.123 "," 292.878 "," 7.119 "," 7.1 "," 1.301 "," 260.058 ","  "," 1.716 "," 112.563 "," 63 "," 1.225 "
"   13 EYLÜL 2020  "," 8.519.560 "," 291.162 "," 7.056 "," 7.2 "," 1.267 "," 258.833 ","  "," 1.527 "," 96.097 "," 57 "," 1.102 "
"   12 EYLÜL 2020  "," 8.423.463 "," 289.635 "," 6.999 "," 7.2 "," 1.241 "," 257.731 ","  "," 1.509 "," 98.326 "," 48 "," 1.207 "
"   11 EYLÜL 2020  "," 8.325.137 "," 288.126 "," 6.951 "," 7.3 "," 1.223 "," 256.524 ","  "," 1.671 "," 112.213 "," 56 "," 1.117 "
"   10 EYLÜL 2020  "," 8.212.924 "," 286.455 "," 6.895 "," 7.3 "," 1.209 "," 255.407 ","  "," 1.512 "," 107.702 "," 58 "," 1.219 "
"   9 EYLÜL 2020  "," 8.105.222 "," 284.943 "," 6.837 "," 7.4 "," 1.181 "," 254.188 ","  "," 1.673 "," 111.193 "," 55 "," 943 "
"   8 EYLÜL 2020  "," 7.994.029 "," 283.270 "," 6.782 "," 7.5 "," 1.159 "," 253.245 ","  "," 1.761 "," 110.565 "," 52 "," 1.093 "
"   7 EYLÜL 2020  "," 7.883.464 "," 281.509 "," 6.730 "," 7.6 "," 1.118 "," 252.152 ","  "," 1.703 "," 103.925 "," 57 "," 1.047 "
"   6 EYLÜL 2020  "," 7.779.539 "," 279.806 "," 6.673 "," 7.6 "," 1.102 "," 251.105 ","  "," 1.578 "," 96.842 "," 53 "," 1.013 "
"   5 EYLÜL 2020  "," 7.682.697 "," 278.228 "," 6.620 "," 7.5 "," 1.091 "," 250.092 ","  "," 1.673 "," 99.497 "," 56 "," 984 "
"   4 EYLÜL 2020  "," 7.583.200 "," 276.555 "," 6.564 "," 7.5 "," 1.076 "," 249.108 ","  "," 1.612 "," 117.113 "," 53 "," 1.021 "
"   3 EYLÜL 2020  "," 7.466.087 "," 274.943 "," 6.511 "," 7.6 "," 1.041 "," 248.087 ","  "," 1.642 "," 110.225 "," 49 "," 1.211 "
"   2 EYLÜL 2020  "," 7.355.862 "," 273.301 "," 6.462 "," 7.6 "," 1.017 "," 246.876 ","  "," 1.596 "," 107.927 "," 45 "," 947 "
"   1 EYLÜL 2020  "," 7.247.935 "," 271.705 "," 6.417 "," 7,6 "," 991 "," 245.929 ","  "," 1.572 "," 109.443 "," 47 "," 1.003 "
"   31 AĞUSTOS 2020  "," 7.138.492 "," 270.133 "," 6.370 "," 7,5 "," 961 "," 244.926 ","  "," 1.587 "," 110.102 "," 44 "," 1.087 "
"   30 AĞUSTOS 2020  "," 7.028.390 "," 268.546 "," 6.326 "," 7,5 "," 945 "," 243.839 ","  "," 1.482 "," 91.302 "," 42 "," 1.027 "
"   29 AĞUSTOS 2020  "," 6.937.088 "," 267.064 "," 6.284 "," 7,4 "," 917 "," 242.812 ","  "," 1.549 "," 101.414 "," 39 "," 1.003 "
"   28 AĞUSTOS 2020  "," 6.835.674 "," 265.515 "," 6.245 "," 7,4 "," 896 "," 241.809 ","  "," 1.517 "," 107.814 "," 36 "," 1.017 "
"   27 AĞUSTOS 2020  "," 6.727.860 "," 263.998 "," 6.209 "," 7,3 "," 862 "," 240.792 ","  "," 1.491 "," 106.111 "," 26 "," 995 "
"   26 AĞUSTOS 2020  "," 6.621.749 "," 262.507 "," 6.183 "," 7,4 "," 841 "," 239.797 ","  "," 1.313 "," 100.109 "," 20 "," 1.002 "
"   25 AĞUSTOS 2020  "," 6.521.640 "," 261.194 "," 6.163 "," 7,4 "," 811 "," 238.795 ","  "," 1.502 "," 98.231 "," 24 "," 887 "
"   24 AĞUSTOS 2020  "," 6.423.409 "," 259.692 "," 6.139 "," 7,4 "," 796 "," 237.908 ","  "," 1.443 "," 95.943 "," 18 "," 743 "
"   23 AĞUSTOS 2020  "," 6.327.466 "," 258.249 "," 6.121 "," 7,5 "," 783 "," 237.165 ","  "," 1.217 "," 80.302 "," 19 "," 795 "
"   22 AĞUSTOS 2020  "," 6.247.164 "," 257.032 "," 6.102 "," 7,4 "," 762 "," 236.370 ","  "," 1.309 "," 93.007 "," 22 "," 801 "
"   21 AĞUSTOS 2020  "," 6.154.157 "," 255.723 "," 6.080 "," 7,3 "," 749 "," 235.569 ","  "," 1.203 "," 92.227 "," 22 "," 772 "
"   20 AĞUSTOS 2020  "," 6.061.930 "," 254.520 "," 6.058 "," 7,3 "," 735 "," 234.797 ","  "," 1.412 "," 92.301 "," 19 "," 882 "
"   19 AĞUSTOS 2020  "," 5.969.629 "," 253.108 "," 6.039 "," 7,4 "," 719 "," 233.915 ","  "," 1.303 "," 87.223 "," 23 "," 1.002 "
"   18 AĞUSTOS 2020  "," 5.882.406 "," 251.805 "," 6.016 "," 7,5 "," 703 "," 232.913 ","  "," 1.263 "," 82.318 "," 20 "," 942 "
"   17 AĞUSTOS 2020  "," 5.800.088 "," 250.542 "," 5.996 "," 7,5 "," 686 "," 231.971 ","  "," 1.233 "," 74.846 "," 22 "," 1.002 "
"   16 AĞUSTOS 2020  "," 5.725.242 "," 249.309 "," 5.974 "," 7,6 "," 679 "," 230.969 ","  "," 1.192 "," 65.956 "," 19 "," 997 "
"   15 AĞUSTOS 2020  "," 5.659.286 "," 248.117 "," 5.955 "," 7,6 "," 668 "," 229.972 ","  "," 1.256 "," 67.214 "," 21 "," 992 "
"   14 AĞUSTOS 2020  "," 5.592.072 "," 246.861 "," 5.934 "," 7,8 "," 656 "," 228.980 ","  "," 1.226 "," 70.192 "," 22 "," 923 "
"   13 AĞUSTOS 2020  "," 5.521.880 "," 245.635 "," 5.912 "," 7,9 "," 647 "," 228.057 ","  "," 1.243 "," 66.892 "," 21 "," 968 "
"   12 AĞUSTOS 2020  "," 5.454.988 "," 244.392 "," 5.891 "," 8,2 "," 632 "," 227.089 ","  "," 1.212 "," 67.237 "," 18 "," 934 "
"   11 AĞUSTOS 2020  "," 5.387.751 "," 243.180 "," 5.873 "," 8,2 "," 617 "," 226.155 ","  "," 1.183 "," 61.716 "," 15 "," 1.185 "
